Student ID,Age,Gender,Learning Disabilities,Enrollment Date,Subscription Type,Cumulative Learning Progress (%),Retention Rate (weekly),Retention Rate (monthly),Time to Master Key Concepts,Math,Science,History,English,Geography,Quiz Session Date,Quiz ID,Quiz Topic/Subject,Quiz Score,Time Spent on Quiz,Flashcards Used,Flashcard Accuracy,Total Active Sessions (weekly),Session Duration,Device Used,Satisfaction Rating,Feedback Type,Date of Feedback,Comments/Sentiment
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-05-26,Q11,Science,91,10,Yes,81.0,2,108,Desktop,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-07-10,Q4,Science,60,5,Yes,70.0,4,106,Desktop,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-03-23,Q17,Geography,71,8,No,,3,169,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-03-19,Q5,Geography,86,9,No,,4,168,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-03-31,Q9,English,63,10,Yes,60.0,2,143,Desktop,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-07-14,Q13,Science,62,10,No,61.0,3,59,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-02-13,Q18,Math,69,20,Yes,,3,173,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-01-04,Q4,History,97,13,Yes,,4,156,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-02-17,Q7,Geography,93,16,No,,4,52,Mobile,,,,
773b7066-7611-4f5d-a91b-95dcfe98f4ec,18,Non-binary,ND,2022-08-18,Free,51.707244383739685,0.5272759074664338,0.79306589669515,39,85.7726279420082,58.79450805916555,61.95135002588802,66.33156532136073,50.64374026669964,2025-02-08,Q13,History,87,24,No,68.0,3,143,Mobile,,,,
